Year,disease,Outbreaks,Rank
,,5,1
2003,Bluetongue,9,2
2003,Bovine spongiform encephalopathy,53,1
2004,Bluetongue,322,1
2004,Bovine spongiform encephalopathy,94,2
2005,Bluetongue,88,2
2005,Bovine spongiform encephalopathy,93,1
2005,Infectious haematopoietic necrosis,1,4
2005,"Scrapie, Scrapie or Scrapie Scrapie",13,3
2006,Bovine spongiform encephalopathy,68,1
2006,Highly Pathogenic Avian Influenza in Wild Birds,1,3
2006,"Scrapie, Scrapie or Scrapie Scrapie",53,2
2007,Bluetongue,7916,1
2007,Bovine spongiform encephalopathy,39,3
2007,"Scrapie, Scrapie or Scrapie Scrapie",48,2
2008,Bluetongue,3038,1
2008,Bovine spongiform encephalopathy,23,3
2008,Low Pathogenic Avian Influenza in Wild Birds,1,4
2008,"Scrapie, Scrapie or Scrapie Scrapie",37,2
2009,Bluetongue,429,1
2009,Bovine spongiform encephalopathy,20,3
2009,Highly Pathogenic Avian Influenza in Poultry,1,4
2009,Low Pathogenic Avian Influenza in Poultry,1,4
2009,Newcastle disease,1,4
2009,"Scrapie, Scrapie or Scrapie Scrapie",32,2
2010,Bluetongue,88,1
2010,Bovine spongiform encephalopathy,13,4
2010,Infection with Bonamia exitiosa,1,5
2010,"Scrapie, Scrapie or Scrapie Scrapie",34,3
2010,West Nile Fever (West Nile),36,2
2011,Bluetongue,10,2
2011,Bovine spongiform encephalopathy,5,3
2011,Koi herpesvirus disease,1,4
2011,"Scrapie, Scrapie or Scrapie Scrapie",37,1
2011,West Nile Fever (West Nile),5,3
2012,Bluetongue,7,3
2012,Bovine spongiform encephalopathy,8,2
2012,"Scrapie, Scrapie or Scrapie Scrapie",29,1
2012,West Nile Fever (West Nile),4,4
2013,Bluetongue,69,1
2013,Brucella melitensis (Inf. by),1,5
2013,Low Pathogenic Avian Influenza in Poultry,1,5
2013,Marteilia refringens (Inf. by),3,4
2013,Rabies (Inf. by Rabies virus),1,5
2013,"Scrapie, Scrapie or Scrapie Scrapie",23,3
2013,West Nile Fever (West Nile),35,2
2014,Bluetongue,424,1
2014,Bovine spongiform encephalopathy,2,4
2014,Infection with Bonamia exitiosa,2,4
2014,Infection with Bonamia ostreae,1,5
2014,Marteilia refringens (Inf. by),1,5
2014,"Scrapie, Scrapie or Scrapie Scrapie",23,2
2014,West Nile Fever (West Nile),8,3
2015,Bluetongue,19,2
2015,Bovine spongiform encephalopathy,1,4
2015,"Scrapie, Scrapie or Scrapie Scrapie",30,1
2015,West Nile Fever (West Nile),17,3
2016,Bluetongue,20,3
2016,Bovine spongiform encephalopathy,1,5
2016,Brucella melitensis (Inf. by),2,4
2016,"Scrapie, Scrapie or Scrapie Scrapie",24,2
2016,West Nile Fever (West Nile),73,1
2017,Aujeszky's disease,2,5
2017,Bluetongue,10,3
2017,Bovine spongiform encephalopathy,3,4
2017,Equine infectious anaemia,2,5
2017,Highly Pathogenic Avian Influenza in Poultry,10,3
2017,Highly Pathogenic Avian Influenza in Wild Birds,2,5
2017,"Scrapie, Scrapie or Scrapie Scrapie",32,1
2017,West Nile Fever (West Nile),13,2
2018,Aujeszky's disease,13,2
2018,Bluetongue,13,2
2018,Brucella melitensis (Inf. by),2,4
2018,"Scrapie, Scrapie or Scrapie Scrapie",27,1
2018,West Nile Fever (West Nile),9,3
2019,Aujeszky's disease,11,2
2019,Bluetongue,1,5
2019,Bovine spongiform encephalopathy,2,4
2019,"Scrapie, Scrapie or Scrapie Scrapie",24,1
2019,West Nile Fever (West Nile),6,3
2020,Aujeszky's disease,5,4
2020,Bluetongue,32,2
2020,Bovine spongiform encephalopathy,1,5
2020,Brucella abortus (Inf. by),1,5
2020,Highly Pathogenic Avian Influenza in Wild Birds,1,5
2020,"Scrapie, Scrapie or Scrapie Scrapie",18,3
2020,West Nile Fever (West Nile),139,1
2021,Anthrax,24,2
2021,Aujeszky's disease,6,5
2021,Bluetongue,355,1
2021,Bovine spongiform encephalopathy,2,6
2021,Brucella melitensis (Inf. by),9,4
2021,Highly Pathogenic Avian Influenza in Wild Birds,2,6
2021,"Scrapie, Scrapie or Scrapie Scrapie",18,3
2021,West Nile Fever (West Nile),18,3
2022,Anthrax,4,9
2022,Aujeszky's disease,3,10
2022,Bluetongue,74,2
2022,Brucella suis (Inf. by),1,11
2022,Epizootic haemorrhagic disease,11,7
2022,Highly Pathogenic Avian Influenza in Captive Poultry,3,10
2022,Highly Pathogenic Avian Influenza in Poultry,37,3
2022,Highly Pathogenic Avian Influenza in Wild Birds,144,1
2022,Mycobacterium tuberculosis (Inf. by the complex),9,8
2022,Newcastle disease,3,10
2022,"Scrapie, Scrapie or Scrapie Scrapie",27,4
2022,Sheep pox and goat pox,23,5
2022,West Nile Fever (West Nile),17,6
2023,Anthrax,2,8
2023,Aujeszky's disease,2,8
2023,Bluetongue,58,2
2023,Bovine spongiform encephalopathy,1,9
2023,Epizootic haemorrhagic disease,250,1
2023,Highly Pathogenic Avian Influenza in Poultry,1,9
2023,Highly Pathogenic Avian Influenza in Wild Birds,48,4
2023,Mycobacterium tuberculosis (Inf. by the complex),16,5
2023,"Scrapie, Scrapie or Scrapie Scrapie",14,6
2023,Sheep pox and goat pox,7,7
2023,West Nile Fever (West Nile),57,3
